"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Index","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","115","116","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576620.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"Authors’ Guide to Quantum Computing Slang","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","99","102","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576622.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"8 Conclusions and Future Directions","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","95","98","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576623.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"2 Challenges in Software Development and Deployment of Quantum Services","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","21","30","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576618.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"5 Generation of Quantum Services","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","59","68","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576613.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","i","xx","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576615.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"4 Architectural Design Patterns for Quantum Computing","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","49","58","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576621.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"6 DevOps for Quantum Computing","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","69","76","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576619.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"Bibliography","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","103","114","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576614.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"7 Quality Aspects on Quantum Software Development","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","77","94","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576617.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"3 Quantum Computing as a Service","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","31","48","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576612.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
"1 Introduction to Quantum Computing","J. Romero-Álvarez; J. Alvarado-Valiente; E. Moguel; J. Garcia-Alonso; J. M. Murillo",NA; NA; NA; NA; NA,Quantum Service-oriented Computing: A Proposal for Quantum Software as a Service,"","2024","","","1","20","This Rapids book is an analysis of quantum computing, covering everything from its foundational principles to practical applications in the development of quantum services. It offers a technical and complex overview to provide the necessary knowledge to any researcher, scientist or developer who wants to get into service-oriented quantum computing. The field of quantum computing has evolved rapidly in recent years, with the potential to revolutionize the way we approach complex problems in various fields. This comprehensive guide covers the fundamental principles of quantum computing and its practical applications in the development of quantum services. Beyond theoretical knowledge, the book goes on to explore some of the challenges that quantum software developers face in today’s landscape. It addresses issues related to low-level abstractions and the absence of integration, deployment and quality assurance mechanisms in quantum software engineering. Also, it explores the principles of service-oriented computing applied to quantum computing, revealing architectural patterns adapted to quantum computing and discussing standardization and accessibility in this field. It also provides insight into streamlining the deployment process through a DevOps approach for continuous deployment of quantum services. This book will serve as a guide for all researchers, scientists and developers by providing them with an understanding of the current limitations and problems in quantum computing-oriented software development, and how to address them with software engineering techniques and tools applied to quantum computing.","","9788770041980","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10576616.pdf&bkn=10576063&pdfType=chapter","","","","","","","","27 Jun 2024","","","River Publishers","River eBook Chapters"
