ID,ENTRYTYPE,author,title,year,journal,booktitle,volume,number,pages,chapter,publisher,isbn,doi,url,eprint,keywords,abstract,note
https://doi.org/10.1002/qua.20166,article,"Veryazov, Valera and Widmark, Per-Olof and Serrano-Andrés, Luis and Lindh, Roland and Roos, Björn O.",2MOLCAS as a development platform for quantum chemistry software,2004,International Journal of Quantum Chemistry,,100,4,626-635,,,,https://doi.org/10.1002/qua.20166,https://onlinelibrary.wiley.com/doi/abs/10.1002/qua.20166,https://onlinelibrary.wiley.com/doi/pdf/10.1002/qua.20166,"MOLCAS, computational chemistry, software development","Abstract This work presents the quantum chemistry package MOLCAS, with emphasis on its usefulness as a platform for developing new quantum chemical codes, and the reader is assumed to be familiar with such a process. The development of new codes for quantum chemistry is a time-consuming job that can be dramatically simplified by using libraries for standard problems (such as calculation of integrals), and tools to surmount computer language and operating system limitations. The MOLCAS quantum chemistry software contains modules for a variety of quantum chemical methods, such as Hartree–Fock (HF), density functional theory (DFT), coupled-cluster (CC), and multiconfigurational (MCSCF) approaches, including second-order perturbation theory. It runs on almost all UNIX-like platforms and contains a single source code for 32- and 64-bit architecture, as well as for serial and parallel execution. The MOLCAS environment allows the user to include, in a simple way, new codes integrated with libraries and other MOLCAS modules. The key features of the MOLCAS environment include a modular structure, an easy-to-use environment, an application programming interface (API) library for solving common computational and system-oriented problems, a solid verification control system, and tools for a distributed development. © 2004 Wiley Periodicals, Inc. Int J Quantum Chem, 2004",
https://doi.org/10.1002/hsr2.72367,article,"Bose, Rajesh and Mondal, Somnath and Sutradhar, Shrabani and Das, Sujan and Faheem, Muhammad and Roy, Sandip and Ahmad Khan, Arfat",Enhancing Cloud-Based Healthcare Security With Quantum-Secure HealthChain: A Quantum Computing and Blockchain Integrated Framework,2026,Health Science Reports,,9,5,e72367,,,,https://doi.org/10.1002/hsr2.72367,https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.72367,https://onlinelibrary.wiley.com/doi/pdf/10.1002/hsr2.72367,"blockchain, Quantum computing, Quantum key distribution, Quantum-resistant encryption, Quantum biometric authentication, Healthcare security","ABSTRACT Background and Aims Rising quantum hazards and flaws in conventional encryption make cloud-based healthcare data security harder. Quantum-Secure HealthChain, a new architecture using blockchain and quantum computing, improves medical data security, patient privacy, and data fidelity. Methods To prevent quantum attacks, the proposed system uses Quantum Key Distribution (QKD) for safe cryptographic key exchange and quantum-resistant encryption. Blockchain technology secures medical records, while multi-layered encryption ensures data privacy. Quantum Biometric Authentication improves access control using quantum entanglement and biometric data. Key generation, encryption, blockchain storage, authentication, and decryption are system process steps. Experimental evaluation focuses on encryption speed, resource economy, throughput, and scalability using simulated healthcare data. Results Experimental data demonstrate system strength and efficiency. Encryption and decryption perform consistently for 1 to 100 MB data sizes with negligible overhead. Throughput can reach 105 transactions per second under normal demand; CPU (82%) and memory (210 MB) utilization are low. Scalability studies show linear expansion lets the system handle increased data volumes and user demands without sacrificing performance. Security study confirms quantum attack, data corruption, and unauthorized access resistance. Conclusion Quantum-Secure HealthChain offers a revolutionary method to cloud-based healthcare system security. Blockchain-quantum computing integration ensures strong authentication, safe key exchange, and quantum-resistant encryption. Its security, scalability, and efficiency make it a future-ready platform for safe medical data management, reducing quantum computing hazards.",
https://doi.org/10.1002/spe.3064,article,"Hevia, Jose Luis and Peterssen, Guido and Piattini, Mario",QuantumPath: A quantum software development platform,2022,Software: Practice and Experience,,52,6,1517-1530,,,,https://doi.org/10.1002/spe.3064,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.3064,https://onlinelibrary.wiley.com/doi/pdf/10.1002/spe.3064,"quantum computing, quantum toolkits, QuantumPath","Abstract Quantum computing has experienced a breakthrough. Several companies are taking up the challenge of designing and manufacturing quantum computers, and the supply of tools for quantum software development is growing all the time. This article addresses quantum software development toolkits and introduces the ‘QuantumPath’ platform. In developing QuantumPath, our aim is to fulfil certain principles such as: agnosticism, extensibility, integration, independency, optimisation, scalability, security, usability and software engineering support. This article presents both the architecture itself as well as the main tools that compose QuantumPath, in order to illustrate the support which platform provides to the development and execution of quantum software.",
https://doi.org/10.1002/que2.18,article,"Xin, Tao",A novel approach for emulating quantum computers on classical platforms,2019,Quantum Engineering,,1,2,e18,,,,https://doi.org/10.1002/que2.18,https://onlinelibrary.wiley.com/doi/abs/10.1002/que2.18,https://onlinelibrary.wiley.com/doi/pdf/10.1002/que2.18,,,e18 QUE-2019-0013
https://doi.org/10.1002/qute.202200080,article,"Cai, Ranran and Žutić, Igor and Han, Wei",Superconductor/Ferromagnet Heterostructures: A Platform for Superconducting Spintronics and Quantum Computation,2023,Advanced Quantum Technologies,,6,1,2200080,,,,https://doi.org/10.1002/qute.202200080,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.202200080,https://onlinelibrary.wiley.com/doi/pdf/10.1002/qute.202200080,"Majorana fermions, spin-triplet superconductivity, superconducting spintronics, superconductor/ferromagnet heterostructures, π Josephson junction, π qubit","Abstract The interplay between superconductivity and ferromagnetism in the superconductor/ferromagnet (SC/FM) heterostructures generates many interesting physical phenomena, including spin-triplet superconductivity, superconducting order parameter oscillation, and topological superconductivity. The unique physical properties make the SC/FM heterostructure as promising platforms for future superconducting spintronics and quantum computation applications. In this article, important research progress of SC/FM heterostructures from superconducting spintronics to quantum computation is reviewed, and it is organized as follows. First, the progress of spin current carriers in SC/FM heterostructures including Bogoliubov quasiparticles, superconducting vortex, and spin-triplet Cooper pairs which might be used for long-range spin transport is discussed. Then, the π Josephson junctions and their application for constructing π qubits are described. Finally, experimental signatures of Majorana states in the SC/FM heterostructures and the theoretically proposed manipulation are briefly reviewed, which could be useful to realize fault-tolerant topological quantum computing.",
https://doi.org/10.1002/ett.4094,article,"Bhatia, Munish and Kaur, Avneet",Quantum computing inspired framework of student performance assessment in smart classroom,2021,Transactions on Emerging Telecommunications Technologies,,32,9,e4094,,,,https://doi.org/10.1002/ett.4094,https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.4094,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ett.4094,,"Summary Internet of Things (IoT) technology, merged with fog-cloud computing, has provided efficient services in the education industry. Inspired by this aspect, this paper presents an effective framework of the smart classroom for optimal evaluation of the performance of students and teachers based on quantum game-theoretic (QGT) decision making. Specifically, IoT technology is incorporated inside the classroom to acquire data about students and teachers for determining the academic enhancement of students. The acquired data is evaluated over the fog-cloud computing platform to estimate a quantifiable measure of probability of performance using the Bayesian modeling technique. Moreover, to analyze the student and teacher performance over the temporal scale, student performance indicator and teacher performance indicator are calculated. Finally, student-teacher performance is assessed using the effective two-player quantum gametic decision-making. The experimental simulation on four challenging datasets namely student performance (7029 instances), student academic performance (3585 instances), student performance prediction (2120 instances), and student performance analysis (6507 instances) shows the effectiveness of the proposed framework. The simulation results are contrasted with various state-of-the-art techniques to estimate the overall efficiency of the proposed system. Moreover, mathematical analysis has been carried out to depict the performance of the proposed framework.",
https://doi.org/10.1049/qtc2.12024,article,"Nguyen, Thien and Bassman Oftelie, Lindsay and Lotshaw, Phillip C. and Lyakh, Dmitry and McCaskey, Alexander and Leyton-Ortega, Vicente and Pooser, Raphael and Elwasif, Wael and Humble, Travis S. and de Jong, Wibe A.",QuaSiMo: A composable library to program hybrid workflows for quantum simulation,2021,IET Quantum Communication,,2,4,160-170,,,,https://doi.org/10.1049/qtc2.12024,https://onlinelibrary.wiley.com/doi/abs/10.1049/qtc2.12024,https://onlinelibrary.wiley.com/doi/pdf/10.1049/qtc2.12024,"quantum computing, quantum information, data structures, hardware-software codesign, object-oriented methods, object-oriented programming, quantum computing, reconfigurable architectures","Abstract A composable design scheme is presented for the development of hybrid quantum/classical algorithms and workflows for applications of quantum simulation. The proposed object-oriented approach is based on constructing an expressive set of common data structures and methods that enables programming of a broad variety of complex hybrid quantum simulation applications. The abstract core of the scheme is distilled from the analysis of the current quantum simulation algorithms. Subsequently, it allows synthesis of new hybrid algorithms and workflows via the extension, specialisation, and dynamic customisation of the abstract core classes defined by the proposed design. The design scheme is implemented using the hardware-agnostic programming language QCOR into the QuaSiMo library. To validate the implementation, the authors test and show its utility on commercial quantum processors from IBM and Rigetti, running some prototypical quantum simulations.",
https://doi.org/10.1002/cpe.70803,article,"Dehingia, Kaushik and Dutta, Nimisha",A Computational Framework for Adaptive Circuit Selection in Noisy Quantum Communication Simulations,2026,Concurrency and Computation: Practice and Experience,,38,12,e70803,,,,https://doi.org/10.1002/cpe.70803,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.70803,https://onlinelibrary.wiley.com/doi/pdf/10.1002/cpe.70803,"adaptive circuit selection, decoherence-free subspaces, deep Q-network, entanglement purification, noisy quantum networks, parameterized quantum circuits, quantum key distribution, quantum reinforcement learning","ABSTRACT Quantum communications and quantum key distribution (QKD) occupy a unique position at the intersection of quantum information processing, stochastic noise and distributed network control. Theoretical guarantees for the security of QKD based on quantum mechanics have been developed over the last several years. In order to effectively implement QKD, however, we must understand that practical implementations are limited by factors such as decoherence, imperfection of devices, and non-homogeneous, varying environmental conditions of our distributed networks. These challenges require the need to develop adaptive computational frameworks that will dynamically adjust to changing levels of noise and to resource availability in order to successfully operate QKD, rather than relying on fixed configurations of protocols. The current study presents a means of adaptively selecting circuits for quantum communication simulated in a noisy environment using a high level of reproducibility in terms of computational frameworks and focuses upon workloads similar to QKD. Quantum communication can be treated as a decentralized, stochastic decision-making process in which an adapting controller selects between a set of available quantum circuits based on observable network characteristics. Using the decoherence-free subspace (DFS) encoding method and an entanglement-based protocol that incorporates purification, the use of modular circuit templates has allowed for the selection of templates guided by the use of learned decision policies as opposed to a fixed protocol being predetermined. Unlike previous works applying reinforcement learning to tune fixed protocol parameters or measurement strategies Yang et al. and Xu et al., we model decoherence-mitigation primitives—DFS and entanglement purification—as dynamically selectable circuit templates. In this sense, the agent acts on protocol structure instead of tuning parameters, to allow compositional adapting, on heterogeneous and adversarial network conditions. (This amounts to a qualitatively different and under-explored control abstraction compared to the literature). Adaptive control utilizes a quantum reinforcement learning (QRL) based six qubit, four layer parameterized quantum circuit with 48 trainable parameters and a deep Q-network (DQN) classical baseline. The agents notice the same three-dimensional representation of state with channel loss, node-specific noise and eavesdropping indicators. The framework is compared with more than 50 independent trials on a simulated 10-node quantum network under a physically enriched noise model with depolarizing noise, collective dephasing, thermal relaxation (\$\$ T_1=70ęrn0.1em p̆mu \mathrms \$\$, \$\$ T_2=50\r̨n0.1em \m̆u \mathrms \$\$), amplitude-damping leakage, nearest-neighbor crosstalk–yielding non-trivial von Neumann entropy values to be up to \$\$ ≈ 1.23 \$\$ bits that give an in realistic physical depiction of decoherence. The reward function is explicitly decomposed into weighted components that are aligned to security-critical (QBER, key rate, fidelity, entropy) metrics that are essential security, ensuring sensitivity to the most operationally relevant performance metrics. Numerical tests indicated that with noise models and circuit expressivity, QRL and classical DQN agents consistently perform in the same manner over reported metrics, and do not show any statistically significant difference between mean QBER (p = 0.2037). Crucially, this result is not so much negative as it suggests a regime in which quantum policy models do not do better than classical baselines, yet, the QRL policy circuit operates within a genuinely quantum hypothesis space with nonzero entanglement entropy \$\$ łeft(≈ 0.66\mathrmebitsi̊ght) \$\$ and active gradient-based learning. It indicates that it is circuit expressivity, incentive strategy design and environment complexity which define quantum advantage of quantum communications activities (not only quantum resources by themselves). In this work we focus on the development of a transparent and extensible simulation pipeline in order to combine quantum circuit performance, stochastic noise modeling and learning-informed adaptive control all within the framework of a one computing platform. It's about reproducibility, controlled benchmarking, and modular design, this investigation gives a concrete proving ground for further study in adaptive workflows, concurrency-aware decision making and hybrid quantum-classical control strategies employed in emerging quantum communication networks.",
https://doi.org/10.1155/2016/5718124,article,"Lee, Y. H. and Khalil-Hani, M. and Marsono, M. N.",An FPGA-Based Quantum Computing Emulation Framework Based on Serial-Parallel Architecture,2016,International Journal of Reconfigurable Computing,,2016,1,5718124,,,,https://doi.org/10.1155/2016/5718124,https://onlinelibrary.wiley.com/doi/abs/10.1155/2016/5718124,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2016/5718124,,"Hardware emulation of quantum systems can mimic more efficiently the parallel behaviour of quantum computations, thus allowing higher processing speed-up than software simulations. In this paper, an efficient hardware emulation method that employs a serial-parallel hardware architecture targeted for field programmable gate array (FPGA) is proposed. Quantum Fourier transform and Grover’s search are chosen as case studies in this work since they are the core of many useful quantum algorithms. Experimental work shows that, with the proposed emulation architecture, a linear reduction in resource utilization is attained against the pipeline implementations proposed in prior works. The proposed work contributes to the formulation of a proof-of-concept baseline FPGA emulation framework with optimization on datapath designs that can be extended to emulate practical large-scale quantum circuits.",
https://doi.org/10.1155/2022/6138434,article,"Hasan, Tayyabah and Ahmad, Fahad and Rizwan, Muhammad and Alshammari, Nasser and Alanazi, Saad Awadh and Hussain, Iftikhar and Naseem, Shahid",Edge Caching in Fog-Based Sensor Networks through Deep Learning-Associated Quantum Computing Framework,2022,Computational Intelligence and Neuroscience,,2022,1,6138434,,,,https://doi.org/10.1155/2022/6138434,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/6138434,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2022/6138434,,"Fog computing (FC) based sensor networks have emerged as a propitious archetype for next-generation wireless communication technology with caching, communication, and storage capacity services in the edge. Mobile edge computing (MEC) is a new era of digital communication and has a rising demand for intelligent devices and applications. It faces performance deterioration and quality of service (QoS) degradation problems, especially in the Internet of Things (IoT) based scenarios. Therefore, existing caching strategies need to be enhanced to augment the cache hit ratio and manage the limited storage to accelerate content deliveries. Alternatively, quantum computing (QC) appears to be a prospect of more or less every typical computing problem. The framework is basically a merger of a deep learning (DL) agent deployed at the network edge with a quantum memory module (QMM). Firstly, the DL agent prioritizes caching contents via self organizing maps (SOMs) algorithm, and secondly, the prioritized contents are stored in QMM using a Two-Level Spin Quantum Phenomenon (TLSQP). After selecting the most appropriate lattice map (32 × 32) in 750,000 iterations using SOMs, the data points below the dark blue region are mapped onto the data frame to get the videos. These videos are considered a high priority for trending according to the input parameters provided in the dataset. Similarly, the light-blue color region is also mapped to get medium-prioritized content. After the SOMs algorithm’s training, the topographic error (TE) value together with quantization error (QE) value (i.e., 0.0000235) plotted the most appropriate map after 750,000 iterations. In addition, the power of QC is due to the inherent quantum parallelism (QP) associated with the superposition and entanglement principles. A quantum computer taking “n” qubits that can be stored and execute 2n presumable combinations of qubits simultaneously reduces the utilization of resources compared to conventional computing. It can be analyzed that the cache hit ratio will be improved by ranking the content, removing redundant and least important content, storing the content having high and medium prioritization using QP efficiently, and delivering precise results. The experiments for content prioritization are conducted using Google Colab, and IBM’s Quantum Experience is considered to simulate the quantum phenomena.",
https://doi.org/10.1002/qute.202500681,article,"Strocka, Yannick and Belhassen, Mohamed and Schröder, Tim and Pieplow, Gregor",Software Framework for Optically Accessible Quantum Memories Using Group-IV Color Centers in Diamond,2026,Advanced Quantum Technologies,,9,2,e00681,,,,https://doi.org/10.1002/qute.202500681,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.202500681,https://onlinelibrary.wiley.com/doi/pdf/10.1002/qute.202500681,"quantum communication, quantum control, quantum memories, quantum optics, quantum token","ABSTRACT In the rapidly evolving field of quantum technology, the precise and detailed description of quantum components is not just a necessity but the foundation for advancing research, development, and applications. Optically accessible quantum memories are key building blocks for devices such as quantum repeaters and two-factor authentication. The memory we describe here is based on a Group-IV-vacancy color center (\$m̊ SiV^-/\ ̊SnV^-\$) coupled to a highly efficient cavity. It leverages state-dependent reflection from the cavity and implements high-fidelity fractional single qubit gates via a train of optical \$π /8\$ pulses. We also describe its operation under microwave control, further extending our analysis. Our primary contribution in this work is the integration of this device model into a standardized software framework for quantum memory architectures.",
https://doi.org/10.1002/wfs2.70013,article,"Kebande, Victor R.","Quantum Computing in Industrial Internet of Things (IIoT) Forensics: Framework, Implications, Opportunities, and Future Directions",2025,WIREs Forensic Science,,7,3,e70013,,,,https://doi.org/10.1002/wfs2.70013,https://onlinelibrary.wiley.com/doi/abs/10.1002/wfs2.70013,https://onlinelibrary.wiley.com/doi/pdf/10.1002/wfs2.70013,"computing, forensics, implications, industrial, internet of things, processes, quantum","ABSTRACT The continuous evolution of quantum computing has shown novel and transformative possibilities and critical implications for the Industrial Internet of Things (IIoT) forensic processes. With the potential to break traditional encryption algorithms and process diverse datasets at unprecedented speeds, quantum computing could disrupt current approaches to digital forensic evidence (DFE) collection, preservation, and hybrid quantum-classical data analysis methods across IIoT environments, an emerging topic in digital forensics. This paper proposes a generic quantum safe IIoT forensic (QS-IIoT-F) framework, explores the implications of quantum computing for IIoT forensics, mentions the opportunities of quantum computing in IIoT forensics, and future research directions. By addressing these issues, this paper aims to pave the way for future-proof IIoT forensic methodologies, ensuring the integrity, efficiency, and reliability of digital forensic investigations in IIoT in a quantum-powered era. This article is categorized under: Digital and Multimedia Science > Cyber Threat Intelligence Digital and Multimedia Science > IoT Forensics Digital and Multimedia Science > Cybercrime Investigation",e70013 FORSCI-365.R3
